檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N04海工_112學年度財務報告.pdf,5,現金及銀行存款,"$ 3,226,040",資產,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,應收帳款淨額,-,資產,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,預付款項,"45,000",資產,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,流動資產合計,"3,271,040",資產,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,資遣費準備金,"166,661",資產,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,業務發展準備金,"3,854,000",資產,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,代管財產,"161,339",資產,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,購置財產,"337,703",資產,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,非流動資產合計,"4,519,703",資產,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,資產總計,"$ 7,790,743",資產,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,現金及銀行存款,"$ 2,706,430",資產,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,應收帳款淨額,"51,583",資產,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,預付款項,-,資產,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,流動資產合計,"2,758,013",資產,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,資遣費準備金,"139,758",資產,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,業務發展準備金,"2,554,000",資產,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,代管財產,"160,231",資產,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,購置財產,"316,183",資產,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,非流動資產合計,"3,170,172",資產,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,資產總計,"$ 5,928,185",資產,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,應付帳款,$ -,負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,其他應付款,"198,867",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,預收款項,"1,488,338",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,其他流動負債,"13,904",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,流動負債合計,"1,701,109",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,資遣費準備金,"166,661",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,業務發展準備金,"3,854,000",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,應付代管財產,"161,339",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,應付購置財產,"337,703",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,非流動負債合計,"4,519,703",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,負債總額,"6,220,812",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,累積餘絀,"1,247,706",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,本期餘絀,"322,225",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,餘絀總額,"1,569,931",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,負債及餘絀總計,"$ 7,790,743",負債及淨值,112學年度,本年度,113年7月31日
N04海工_112學年度財務報告.pdf,5,應付帳款,"$ 125,922",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,其他應付款,"102,347",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,預收款項,"1,280,861",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,其他流動負債,"1,177",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,流動負債合計,"1,510,307",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,資遣費準備金,"139,758",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,業務發展準備金,"2,554,000",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,應付代管財產,"160,231",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,應付購置財產,"316,183",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,非流動負債合計,"3,170,172",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,負債總額,"4,680,479",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,累積餘絀,"1,162,404",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,本期餘絀,"85,302",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,餘絀總額,"1,247,706",負債及淨值,111學年度,前一年度,112年7月31日
N04海工_112學年度財務報告.pdf,5,負債及餘絀總計,"$ 5,928,185",負債及淨值,111學年度,前一年度,112年7月31日
