檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N05漢翔_111學年度財務報告.pdf,代管財產,6010720,000001,放置用具-衣帽架,"$ 4,558",1,"$ 4,558",4,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000001,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000002,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000003,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000004,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000005,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000006,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000007,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000008,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000009,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000010,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000011,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000012,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000013,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000014,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011003,000015,遮蔽用具-窗簾,"3,332",1,"3,332",3,106/06/03
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000635,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000636,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000637,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000638,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000639,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000640,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000641,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000642,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000643,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000644,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000645,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000646,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000647,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000648,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000649,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000650,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000651,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000652,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000653,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000654,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000655,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000656,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000657,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000658,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000659,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000660,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000661,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000662,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000663,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000664,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000665,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000666,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000667,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000668,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000669,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000670,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000671,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
N05漢翔_111學年度財務報告.pdf,代管財產,6011206,000672,電器用具-電風扇,"3,008",1,"3,008",3,106/02/13
